author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
Joel Fagliano,,Normal,2024-01-17,Wednesday,3,Mini,21693,,0,100,True,,48
Joel Fagliano,,Normal,2024-01-18,Thursday,4,Mini,21696,,0,100,True,,35
Joel Fagliano,,Normal,2024-01-19,Friday,5,Mini,21697,,0,100,True,,69
Joel Fagliano,,Normal,2024-01-20,Saturday,6,Mini,21694,,0,100,True,,131
Joel Fagliano,,Normal,2024-01-21,Sunday,0,Mini,21691,,0,100,True,,35
Joel Fagliano,,Normal,2024-01-22,Monday,1,Mini,21707,,0,100,True,,62
Joel Fagliano,,Normal,2024-01-23,Tuesday,2,Mini,21702,,0,100,True,,68
Joel Fagliano,,Normal,2024-01-24,Wednesday,3,Mini,21708,,0,100,True,,48
Joel Fagliano,,Normal,2024-01-25,Thursday,4,Mini,21703,,0,100,True,,35
Joel Fagliano,,Normal,2024-01-26,Friday,5,Mini,21706,,0,100,True,,44
Joel Fagliano,,Normal,2024-01-27,Saturday,6,Mini,21705,,0,100,True,,136
Joel Fagliano,,Normal,2024-01-28,Sunday,0,Mini,21709,,0,100,True,,34
Joel Fagliano,,Normal,2024-01-29,Monday,1,Mini,21724,,0,100,True,,34
Joel Fagliano,,Normal,2024-01-30,Tuesday,2,Mini,21728,,0,100,True,,34
Joel Fagliano,,Normal,2024-01-31,Wednesday,3,Mini,21722,,0,100,True,,56
Joel Fagliano,,Normal,2024-02-01,Thursday,4,Mini,21721,,0,100,True,,74
Joel Fagliano,,Normal,2024-02-02,Friday,5,Mini,21723,,0,100,True,,75
Joel Fagliano,,Normal,2024-02-03,Saturday,6,Mini,21730,,0,100,True,,82
Joel Fagliano,,Normal,2024-02-04,Sunday,0,Mini,21731,,0,100,True,,92
Joel Fagliano,,Normal,2024-02-05,Monday,1,Mini,21746,,0,100,True,,54
Joel Fagliano,,Normal,2024-02-06,Tuesday,2,Mini,21752,,0,100,True,,62
